billing_period,client_name,service_line,billable_hours,hourly_rate,software_cost,invoice_value,project_status
2036-08-17,TechStart,O365 Licenses,250,150,688.68,33064.45,Completed
2036-08-24,LocalBank,Cloud Migration,100,300,2427.45,48290.16,Ongoing
2036-08-31,MegaCorp,Cyber Audit,10,300,532.26,29512.67,Completed
2036-09-07,MegaCorp,Monthly Retainer,0,0,4238.56,49055.56,On Hold
2036-09-14,CityGov,App Dev,250,150,3351.43,42298.8,On Hold
2036-09-21,CityGov,App Dev,40,300,1658.5,8183.42,On Hold
2036-09-28,TechStart,O365 Licenses,10,300,4742.43,12973.44,Completed
2036-10-05,TechStart,App Dev,10,300,135.42,10587.38,Ongoing
2036-10-12,LocalBank,Cyber Audit,100,300,727.24,16792.72,Ongoing
2036-10-19,LocalBank,Cloud Migration,40,0,838.45,3421.95,Ongoing
2036-10-26,TechStart,Cyber Audit,250,300,3441.92,33630.59,Completed
2036-11-02,LocalBank,Cyber Audit,0,0,2704.82,44378.06,Ongoing
2036-11-09,LocalBank,Monthly Retainer,10,200,2448.14,36904.15,On Hold
2036-11-16,CityGov,Cyber Audit,40,150,307.21,7156.65,Ongoing
2036-11-23,TechStart,O365 Licenses,40,200,4879.29,40705.3,Ongoing
2036-11-30,MegaCorp,Cloud Migration,10,150,1437.02,36279.63,Ongoing
2036-12-07,TechStart,Cloud Migration,0,0,65.09,41908.08,On Hold
2036-12-14,TechStart,Monthly Retainer,40,0,3167.9,6929.13,On Hold
2036-12-21,TechStart,Cyber Audit,40,0,539.13,20823.58,On Hold
2036-12-28,LocalBank,Monthly Retainer,0,150,3127.12,32260.87,Ongoing
2037-01-04,TechStart,App Dev,250,300,3493.65,2404.52,Completed
2037-01-11,MegaCorp,App Dev,0,300,2383.7,39921.41,On Hold
2037-01-18,MegaCorp,Monthly Retainer,10,0,2176.4,6068.15,Ongoing
2037-01-25,TechStart,App Dev,10,300,4599.86,21149.5,On Hold
2037-02-01,TechStart,Cyber Audit,100,0,3023.71,34340.0,On Hold
2037-02-08,CityGov,Monthly Retainer,250,150,4650.2,39405.5,Completed
2037-02-15,LocalBank,Cyber Audit,0,200,2828.56,40169.33,On Hold
2037-02-22,CityGov,Cloud Migration,0,150,327.1,29330.27,On Hold
2037-03-01,MegaCorp,Monthly Retainer,0,200,2073.67,1905.02,On Hold
2037-03-08,TechStart,Monthly Retainer,40,150,1744.98,36103.66,Ongoing
2037-03-15,CityGov,Cloud Migration,250,200,3375.46,15684.11,Completed
2037-03-22,LocalBank,App Dev,100,0,28.2,42954.65,Completed
2037-03-29,TechStart,Monthly Retainer,0,0,4494.96,48303.58,Completed
2037-04-05,TechStart,Monthly Retainer,0,0,2278.32,32579.02,Completed
2037-04-12,LocalBank,Cloud Migration,10,150,1053.08,27092.38,Ongoing
2037-04-19,MegaCorp,Cyber Audit,100,0,2135.6,22567.88,Ongoing
2037-04-26,LocalBank,App Dev,40,200,1145.89,40259.39,Ongoing
2037-05-03,TechStart,O365 Licenses,40,0,1796.12,34812.6,On Hold
2037-05-10,LocalBank,Cyber Audit,250,300,3312.45,20618.88,Completed
2037-05-17,CityGov,Monthly Retainer,40,300,4598.92,31029.22,Ongoing
2037-05-24,LocalBank,O365 Licenses,0,300,3647.58,15243.59,Completed
2037-05-31,TechStart,Cloud Migration,10,0,2499.71,23306.38,Ongoing
2037-06-07,LocalBank,O365 Licenses,100,200,2116.76,4721.56,Ongoing
2037-06-14,TechStart,O365 Licenses,0,0,4660.33,48078.25,Completed
2037-06-21,CityGov,App Dev,100,0,3003.52,17366.98,Ongoing
2037-06-28,TechStart,Cyber Audit,40,150,3274.16,16120.96,Completed
2037-07-05,CityGov,Monthly Retainer,100,150,1313.99,5328.25,Completed
2037-07-12,CityGov,Cloud Migration,10,150,3782.97,20009.4,Completed
2037-07-19,CityGov,Monthly Retainer,250,150,809.11,37300.01,On Hold
2037-07-26,LocalBank,Cloud Migration,0,150,2199.21,33713.56,On Hold
2037-08-02,MegaCorp,Monthly Retainer,100,0,568.38,21921.85,On Hold
2037-08-09,CityGov,App Dev,250,0,3086.53,37067.6,Ongoing
2037-08-16,CityGov,Cyber Audit,100,0,3551.68,5873.83,On Hold
2037-08-23,TechStart,O365 Licenses,0,150,2604.62,33152.38,Ongoing
2037-08-30,LocalBank,O365 Licenses,250,150,4344.03,19152.53,On Hold
2037-09-06,LocalBank,O365 Licenses,100,300,3835.71,47781.03,Ongoing
2037-09-13,LocalBank,Cloud Migration,250,300,4245.43,29742.68,Completed
2037-09-20,TechStart,O365 Licenses,10,0,4697.31,46099.89,Ongoing
2037-09-27,CityGov,Cyber Audit,10,0,797.49,30577.45,On Hold
2037-10-04,CityGov,Monthly Retainer,0,200,207.83,46275.72,Ongoing
2037-10-11,MegaCorp,Cloud Migration,250,0,407.22,6854.7,Completed
2037-10-18,CityGov,Monthly Retainer,0,200,2109.38,30312.11,Completed
2037-10-25,LocalBank,Cyber Audit,100,300,4953.26,42781.79,Completed
2037-11-01,MegaCorp,Monthly Retainer,250,200,2551.74,37720.02,On Hold
2037-11-08,LocalBank,Cyber Audit,100,0,1019.24,1373.69,Completed
2037-11-15,CityGov,App Dev,250,0,2954.29,23417.78,Completed
2037-11-22,MegaCorp,App Dev,250,300,4545.56,42702.5,Ongoing
2037-11-29,CityGov,Cyber Audit,0,0,2896.2,45493.37,Completed
2037-12-06,TechStart,O365 Licenses,10,150,788.96,31315.17,On Hold
2037-12-13,MegaCorp,O365 Licenses,40,300,3438.05,48200.43,On Hold
2037-12-20,TechStart,Cyber Audit,10,300,4574.14,7342.92,Completed
2037-12-27,CityGov,O365 Licenses,250,0,2389.45,39365.18,Ongoing
2038-01-03,MegaCorp,Monthly Retainer,0,0,1394.58,20027.78,Completed
2038-01-10,MegaCorp,O365 Licenses,250,150,1891.49,2781.9,Ongoing
2038-01-17,TechStart,App Dev,40,300,2626.49,40910.85,Completed
2038-01-24,MegaCorp,Monthly Retainer,250,0,3201.56,18560.3,On Hold
2038-01-31,TechStart,Cloud Migration,40,150,311.67,34793.69,Completed
2038-02-07,CityGov,Cyber Audit,250,0,1462.79,16815.83,On Hold
2038-02-14,CityGov,Monthly Retainer,0,150,4215.94,40629.66,On Hold
2038-02-21,TechStart,Cyber Audit,40,150,4385.57,18644.12,On Hold
2038-02-28,LocalBank,Cloud Migration,10,300,4808.35,7178.04,Ongoing
2038-03-07,LocalBank,App Dev,0,150,4247.02,2014.11,Ongoing
2038-03-14,MegaCorp,App Dev,40,200,1144.16,30017.75,Ongoing
2038-03-21,TechStart,Cloud Migration,250,150,1277.01,36099.97,On Hold
2038-03-28,CityGov,Cyber Audit,0,0,1721.95,18027.38,Completed
2038-04-04,LocalBank,Cyber Audit,0,0,3961.96,36581.69,Ongoing
2038-04-11,TechStart,Monthly Retainer,250,200,4554.22,18486.8,Ongoing
2038-04-18,MegaCorp,App Dev,40,300,3095.78,16559.28,Completed
2038-04-25,LocalBank,App Dev,100,300,295.63,3223.83,On Hold
